,par,sst,eastward_wind,northward_wind
2006-04-02,,2.482617,0.16232562,1.7779367
2006-04-03,,2.5343535,9.130392,5.0305595
2006-04-04,,2.9087021,2.671003,4.972426
2006-04-05,,2.692615,3.7287457,5.346561
2006-04-06,16.34482,2.663488,-5.851395,3.6030831
2006-04-07,,2.5156555,-5.609591,7.7602053
2006-04-08,,2.9295707,-0.31578544,6.4759974
2006-04-09,,2.9278338,0.9677246,4.989809
2006-04-10,,3.0200117,1.2515974,-0.32373047
2006-04-11,,3.0895717,-2.4205637,0.6294364
2006-04-12,,3.0491347,-2.526165,3.192041
2006-04-13,,2.9556594,-3.1707938,6.9902415
2006-04-14,21.228048,2.9378304,-2.4632883,7.6625347
2006-04-15,,3.6065276,-1.8547224,4.5629673
2006-04-16,,3.672614,-3.1523018,1.4825405
2006-04-17,,3.6947885,-2.5837193,2.3063407
2006-04-18,,3.500873,-4.1145716,5.3504744
2006-04-19,,3.3113124,-0.4836635,1.1198242
2006-04-20,,3.156526,3.1455498,-1.4459612
2006-04-21,,2.877395,5.9253907,0.4392299
2006-04-22,22.447449,2.6452224,1.7900809,7.159668
2006-04-23,,2.6434858,0.56951034,7.1911902
2006-04-24,,2.5352252,2.9607213,4.47876
2006-04-25,,2.4304397,-1.7647252,4.323354
2006-04-26,,2.3273926,-1.6644531,6.6692314
2006-04-27,,2.18653,-0.6778739,5.43201
2006-04-28,,2.0621789,1.7089355,2.1490095
2006-04-29,,3.6973984,4.022991,4.92922
2006-04-30,24.211733,4.526962,2.0933943,4.132178
2006-05-01,,5.153916,0.59384066,3.1177735
2006-05-02,,5.6243525,0.073416576,2.7293875
2006-05-03,,5.491743,-1.4492327,3.3738072
2006-05-04,,5.503049,2.146882,3.335484
2006-05-05,,5.486966,3.0094588,3.1387346
2006-05-06,,5.872616,1.3048549,3.6866908
2006-05-07,,6.3400083,4.623375,4.1122627
2006-05-08,37.53957,6.5208755,7.9734793,-1.2413714
2006-05-09,,6.507397,1.9680873,0.7666504
2006-05-10,,6.43044,-6.325753,0.15965402
2006-05-11,,6.383918,-9.38485,-1.3878766
2006-05-12,,6.3474016,-9.121868,0.2878139
2006-05-13,,6.36479,-10.154017,-5.047942
2006-05-14,,6.3691354,-4.2506485,-8.2924385
2006-05-15,,6.4065313,0.3452288,-9.471191
2006-05-16,18.880098,6.3891377,1.9419434,-5.5364676
2006-05-17,,5.482614,2.5446637,-3.356808
2006-05-18,,5.5660944,4.156292,1.3597168
2006-05-19,,5.576964,-2.9701312,-0.97736466
2006-05-20,,5.6060925,-5.039795,-2.062493
2006-05-21,,6.4165316,-6.86875,-0.16187918
2006-05-22,,6.5530486,-3.279499,3.9214494
2006-05-23,,6.5804415,-3.8896344,4.748333
2006-05-24,41.583397,6.613483,-5.6936593,1.228669
2006-05-25,,6.6730494,-7.7396064,2.6746233
2006-05-26,,6.671745,-3.5839984,4.0424457
2006-05-27,,7.2174006,1.5515834,1.4304967
2006-05-28,,7.160439,-0.45808455,-1.1031739
2006-05-29,,7.05827,-3.1107073,-4.0419784
2006-05-30,,6.946962,-2.3313966,-6.1947756
2006-05-31,,6.804787,-3.6339633,-4.0010047
2006-06-01,33.6743,7.0204377,-3.1993651,-1.7268066
2006-06-02,,7.3026137,-3.0089984,1.3840611
2006-06-03,,7.5943565,-2.6007953,-1.7020019
2006-06-04,,7.343052,-0.031842913,-5.2893624
2006-06-05,,7.276525,2.7937431,-3.322405
2006-06-06,,7.294788,4.4946985,2.269308
2006-06-07,,7.305661,2.966811,2.9288366
2006-06-08,,7.464354,4.505971,6.0894394
2006-06-09,35.685394,7.5234866,10.737633,2.293178
2006-06-10,,7.531307,9.241176,-1.9996651
2006-06-11,,7.589569,5.179039,3.5933874
2006-06-12,,7.6113095,6.601088,2.7430246
2006-06-13,,7.67479,4.279039,3.805148
2006-06-14,,7.7439218,7.3725166,3.2018554
2006-06-15,,7.8560963,9.678062,5.6016393
2006-06-16,,8.211745,7.663546,2.4336915
2006-06-17,23.68274,8.391311,5.1916156,2.4157856
2006-06-18,,8.443491,-0.5061593,0.49060407
2006-06-19,,8.4608755,-2.737563,-0.53961354
2006-06-20,,8.468697,-0.6225098,0.19441266
2006-06-21,,8.489139,-3.3717494,-0.54535437
2006-06-22,,8.793918,-0.90901923,1.6225725
2006-06-23,,8.730004,4.090869,2.345745
2006-06-24,,8.736526,6.619489,3.983789
2006-06-25,30.829304,8.753485,6.9640484,4.39398
2006-06-26,,8.7787,3.742076,-2.6202567
2006-06-27,,8.778266,6.0522323,-0.52276087
2006-06-28,,8.816966,4.2419086,-0.5225935
2006-06-29,,8.92261,3.2658901,1.5543736
2006-06-30,,8.936095,2.6776438,1.5470982
2006-07-01,,9.052616,-0.56531113,1.4129394
2006-07-02,,9.200445,0.69359654,1.7733538
2006-07-03,35.050453,9.309571,2.1336844,1.2779297
2006-07-04,,9.38305,5.7495465,-0.3550014
2006-07-05,,9.388705,5.3743234,0.3051479
2006-07-06,,9.542616,2.7320383,1.14601
2006-07-07,,9.643486,2.9864745,2.0480816
2006-07-08,,10.294786,2.692313,1.0568011
2006-07-09,,10.419574,1.7708496,-0.15832868
2006-07-10,,10.710873,-1.3293806,1.8373884
2006-07-11,26.359097,10.740006,4.786014,0.19893275
2006-07-12,,10.725657,-0.17270508,2.3265345
2006-07-13,,10.7487,1.7213867,3.269322
2006-07-14,,10.726525,7.4410925,3.0257812
2006-07-15,,10.711744,6.774937,1.1260045
2006-07-16,,10.788265,6.0450196,5.0833287
2006-07-17,,10.851312,4.896896,5.3253837
2006-07-18,,10.855659,7.301939,-0.9790388
2006-07-19,20.154789,10.898699,5.9316754,-5.3132744
2006-07-20,,10.833483,7.55715,-1.8810477
2006-07-21,,10.660005,6.090625,-0.41907087
2006-07-22,,10.510874,5.62191,1.1793876
2006-07-23,,10.301312,7.413853,0.43981585
2006-07-24,,10.178699,9.418966,1.5746791
2006-07-25,,10.151313,5.7358956,-1.5148019
2006-07-26,,10.094357,-0.12360491,-1.668478
2006-07-27,33.19368,10.186097,-1.7328334,-1.1941825
2006-07-28,,10.386092,-4.347049,-2.7862654
2006-07-29,,10.7074,-4.3830776,-1.8027762
2006-07-30,,10.916091,-2.1985142,-2.1651368
2006-07-31,,11.173917,-4.1288643,-3.1531878
2006-08-01,,11.173052,-3.106522,-3.200802
2006-08-02,,11.156965,-4.8916297,-4.634431
2006-08-03,,11.01218,-4.1198034,-3.4439244
2006-08-04,33.031937,10.722618,-2.163972,-2.6861537
2006-08-05,,10.570875,-3.5129604,0.007910157
2006-08-06,,10.489133,-0.7219238,2.4729772
2006-08-07,,10.456092,2.6335728,2.0774693
2006-08-08,,10.400876,4.2646694,4.3224816
2006-08-09,,10.430441,4.842927,1.3959472
2006-08-10,,10.52914,-1.6821707,-0.9122279
2006-08-11,,10.561747,-0.415625,-2.4737933
2006-08-12,25.932966,10.584357,-4.2171597,-2.0506835
2006-08-13,,10.627831,-1.646045,0.38319615
2006-08-14,,10.745223,5.3515067,-0.07850167
2006-08-15,,10.727401,-4.9691615,-1.6562082
2006-08-16,,10.669573,-5.7472863,-2.9965541
2006-08-17,,10.53827,-3.001681,-3.9089077
2006-08-18,,10.455661,-0.27950615,-2.6375976
2006-08-19,,11.556526,4.943771,1.3812848
2006-08-20,26.095459,11.692616,3.8379533,1.5582938
2006-08-21,,11.698703,4.3807197,0.07084961
2006-08-22,,11.473917,4.0890484,0.59727955
2006-08-23,,11.306524,-1.2310965,-0.6355329
2006-08-24,,11.209137,-3.9654646,-0.81037945
2006-08-25,,11.999139,-0.71692944,1.5734096
2006-08-26,,12.788268,-1.7031808,-1.309661
2006-08-27,,12.912616,-2.7661273,-0.55194616
2006-08-28,26.676016,12.863918,-3.1610143,1.1650461
2006-08-29,,12.825225,-3.7083147,1.1916434
2006-08-30,,12.484355,-5.3290944,0.77726007
2006-08-31,,12.123047,-5.071582,-0.17781807
2006-09-01,,11.309137,-7.308231,0.25085798
2006-09-02,,10.925655,-5.08923,3.4452636
2006-09-03,,10.801313,-1.655392,3.0343401
2006-09-04,,10.556095,-3.5530832,2.1186244
2006-09-05,21.748295,10.38914,-1.190346,0.24758649
2006-09-06,,10.291307,-4.4027553,-0.19718193
2006-09-07,,10.275224,-3.2502162,3.3004951
2006-09-08,,10.2473955,4.86506,3.2362933
2006-09-09,,10.196963,4.590995,1.8956125
2006-09-10,,10.080873,7.130908,2.7780552
2006-09-11,,10.030443,6.556787,2.7040596
2006-09-12,,9.923047,6.0965195,4.2981586
2006-09-13,11.600404,9.701745,5.915032,-2.5075893
2006-09-14,,9.105658,3.1186523,-4.2629604
2006-09-15,,9.0587,0.021589007,1.4439592
2006-09-16,,9.008264,5.8113213,3.2686872
2006-09-17,,8.955662,7.026165,1.2132882
2006-09-18,,8.950436,5.09405,-0.9065778
2006-09-19,,8.967831,0.43631417,-4.4234304
2006-09-20,,8.996962,0.60666156,-4.684647
2006-09-21,7.907154,9.027395,1.5823661,-0.895459
2006-09-22,,9.032616,2.4774764,-2.54578
2006-09-23,,9.045664,3.8862863,1.0233817
2006-09-24,,9.023048,8.499777,-6.25964
2006-09-25,,8.997833,7.0043807,-2.8466098
2006-09-26,,8.958703,6.6218333,-1.092048
2006-09-27,,8.746965,-1.918178,-2.8035853
2006-09-28,,8.594789,-7.4001393,0.19058315
2006-09-29,11.545971,8.542185,-7.536984,2.1794224
2006-09-30,,8.313917,-6.6097655,0.68955773
2006-10-01,,8.285221,-5.2455916,2.2395298
2006-10-02,,8.182177,-0.24818638,0.9671317
2006-10-03,,8.079569,-0.23913226,-5.7157435
2006-10-04,,8.058265,-3.0200405,-2.0337682
2006-10-05,,8.056091,-1.1903042,0.9387207
2006-10-06,,8.10653,-2.1868095,5.0621305
2006-10-07,,8.182616,0.6392508,4.8297086
2006-10-08,,7.856525,-4.4661202,-7.311314
2006-10-09,,7.740878,-5.1250978,-1.2480818
2006-10-10,,7.726093,-0.52032644,6.3227677
2006-10-11,,7.696532,8.072566,3.5560617
2006-10-12,,7.761313,2.0865095,-1.3165109
2006-10-13,,7.817834,-0.033768136,2.1822405
2006-10-14,,7.8530498,4.8598003,-3.661084
2006-10-15,,7.870004,2.3581333,5.3586006
2006-10-16,,7.8347883,9.632533,0.40484795
2006-10-17,,7.8517456,5.0634,-1.4901646
2006-10-18,,7.456528,-8.441483,-4.209396
2006-10-19,,7.5000052,-5.1048617,0.3615025
2006-10-20,,7.5200076,0.30740792,3.8439243
2006-10-21,,7.4817386,8.827888,0.90939593
2006-10-22,,7.274357,2.2819755,-1.0577079
2006-10-23,,7.285224,-5.934926,2.216169
2006-10-24,,7.1552243,-7.7838936,3.9776227
2006-10-25,,6.996091,-4.88471,4.2320313
2006-10-26,,7.0060916,-3.735491,1.8550293
2006-10-27,,7.008269,-6.123891,0.89393836
2006-10-28,,6.97305,-0.92173547,-2.6195312
2006-10-29,,6.846091,4.865653,3.5850515
2006-10-30,,6.570875,-5.5722866,-0.7043387
2006-10-31,,6.448703,0.5601632,2.1234863
2006-11-01,,6.463481,2.3339007,-3.483831
2006-11-02,,6.4143543,4.7773156,-3.5068638
2006-11-03,,6.403478,0.3429269,-1.6134068
2006-11-04,,6.3908744,-0.09823521,9.8355055
2006-11-05,,6.3987017,0.9172782,7.208873
2006-11-06,,6.3952227,-3.1229284,6.8376045
2006-11-07,,6.4439206,-5.5899835,-0.26012835
2006-11-08,,6.3256598,-6.0947127,0.5703404
2006-11-09,,6.240005,-0.884954,-2.1950474
2006-11-10,,6.0187006,6.026186,0.5992048
2006-11-11,,5.787396,-1.9885533,9.608057
2006-11-12,,5.763048,1.5576869,7.4029574
2006-11-13,,5.8208776,2.0500557,2.7207868
2006-11-14,,5.8982663,-0.4737235,7.0171247
2006-11-15,,6.2365327,-1.7220215,6.772126
2006-11-16,,6.186964,-0.86508787,7.7214217
2006-11-17,,6.1491365,-2.9428363,11.216197
2006-11-18,,6.257831,-1.244329,8.470118
2006-11-19,,6.1430492,1.4032714,5.8160295
2006-11-20,,6.046095,-0.91061664,5.6169434
2006-11-21,,5.962613,-0.32867607,7.105964
2006-11-22,,6.1387024,-0.36279297,5.713065
2006-11-23,,6.1295695,1.4795829,6.147768
2006-11-24,,6.1082644,-1.5973145,2.9356096
2006-11-25,,6.1087008,-3.36792,4.6467423
2006-11-26,,6.133923,-1.1654924,8.237361
2006-11-27,,6.2087016,5.3640833,3.320403
2006-11-28,,6.2152257,4.4078684,-3.214209
2006-11-29,,6.1969604,-4.5268626,2.6106098
2006-11-30,,6.125224,1.1535854,1.8277414
2006-12-01,,6.0721807,-0.39492187,5.0895157
2006-12-02,,6.0508757,-5.9705844,4.5018415
2006-12-03,,6.0813093,-4.7918596,1.3742257
2006-12-04,,6.088266,-9.234055,4.337786
2006-12-05,,6.06218,-11.8993025,6.1768064
2006-12-06,,5.98696,-11.9871235,3.4247558
2006-12-07,,5.9408755,-10.011168,2.2899413
2006-12-08,,5.9360948,-9.334835,5.299979
2006-12-09,,5.979569,-4.28946,6.037144
2006-12-10,,5.961313,4.8944197,5.5615096
2006-12-11,,5.9395714,-0.91127235,8.541965
2006-12-12,,5.925659,5.4518905,8.080057
2006-12-13,,5.8882647,7.67779,8.21492
2006-12-14,,5.8208766,7.166483,3.9762485
2006-12-15,,5.762178,0.8292481,-4.17869
2006-12-16,,5.668704,7.83125,-2.2098494
2006-12-17,,5.635661,9.297705,-4.435631
2006-12-18,,5.605223,7.225907,-7.915032
2006-12-19,,5.528266,3.3388183,0.9696429
2006-12-20,,5.4982657,6.987207,5.358447
2006-12-21,,5.4717407,10.648625,4.1066475
2006-12-22,,5.470877,15.50293,-0.08591657
2006-12-23,,5.4652247,11.600098,-6.917006
2006-12-24,,5.454351,0.16999368,-6.967843
2006-12-25,,5.3521795,5.7294154,8.919825
2006-12-26,,5.3034787,17.480524,4.6907783
2006-12-27,,5.2669625,14.363498,-7.7118444
2006-12-28,,5.201748,7.1378555,-9.940415
2006-12-29,,5.249569,5.6670203,-2.8807058
2006-12-30,,5.2843575,2.4169085,6.261684
2006-12-31,,5.290007,4.663149,5.163644
2007-01-01,,4.956962,4.031452,5.4892716
2007-01-02,,4.6856556,-0.69657505,4.2651577
2007-01-03,,4.3104405,1.3101283,1.7327707
2007-01-04,,4.2069583,0.081026785,3.7368023
2007-01-05,,4.230008,0.892334,0.32552317
2007-01-06,,4.2147894,1.7273786,3.076688
2007-01-07,,3.9982646,-0.028404018,7.3364887
2007-01-08,,4.0369635,-1.2302525,7.8913364
2007-01-09,,4.1765256,3.8057199,5.4554687
2007-01-10,,4.001315,6.0269184,-2.5634346
2007-01-11,,3.7447908,5.3950615,0.409382
2007-01-12,,3.8334842,-3.6527553,3.3943777
2007-01-13,,3.695656,0.22359096,3.968429
2007-01-14,,3.3426142,7.3486814,5.9745326
2007-01-15,,2.993054,-1.0580497,7.13208
2007-01-16,,2.7456613,-3.2584822,7.2395997
2007-01-17,,2.609135,-4.585805,-1.3160087
2007-01-18,,2.3852208,-8.442097,2.2370048
2007-01-19,,2.262617,-5.094371,-0.047446985
2007-01-20,,2.1052272,-3.9470146,-3.6911552
2007-01-21,,1.9417473,-3.8178012,-4.706424
2007-01-22,,1.8239189,-1.4214077,-4.127532
2007-01-23,,1.8060913,-4.056989,-7.3612585
2007-01-24,,1.741747,1.6800014,3.0731864
2007-01-25,,1.6356612,12.003662,4.658559
2007-01-26,,1.5434862,0.07711356,-8.766357
2007-01-27,,1.4678332,5.457101,-8.383196
2007-01-28,,1.4495717,8.996345,-1.1162738
2007-01-29,,1.2434825,1.3203614,-4.8774624
2007-01-30,,1.1400093,-4.717404,6.431892
2007-01-31,,1.1569638,-2.025879,7.0359306
2007-02-01,,1.1504397,1.688616,6.5644813
2007-02-02,,1.0621789,-4.83983,7.2554407
2007-02-03,,1.0782657,-7.1462193,0.84684014
2007-02-04,,1.8234824,-6.8753905,7.2384
2007-02-05,,3.1778338,-5.3959403,0.7665876
2007-02-06,,3.332611,-2.3408134,-1.915067
2007-02-07,,3.445225,6.1478095,5.8668528
2007-02-08,,3.3204372,8.288498,1.465311
2007-02-09,,3.0565293,8.096561,-4.5864816
2007-02-10,,2.8882673,8.249832,-7.842334
2007-02-11,,2.6426127,7.740967,-5.480964
2007-02-12,,2.443049,2.0111258,-3.2872558
2007-02-13,,2.9308777,-3.4098284,-1.8644601
2007-02-14,,3.1404445,-1.5549735,2.4819057
2007-02-15,,3.2382693,-1.1403599,4.8744836
2007-02-16,,3.1760957,-4.9859166,5.222719
2007-02-17,,3.196528,-5.333894,4.2260604
2007-02-18,,3.1730506,-7.6056643,1.7097936
2007-02-19,,3.094789,-6.2629256,0.1309082
2007-02-20,,3.0730524,-4.356215,2.341518
2007-02-21,,3.0834842,-4.0212193,3.8787389
2007-02-22,,3.0687003,-5.3925014,8.020529
2007-02-23,,2.9882693,-1.9593192,7.9795203
2007-02-24,,2.8052223,0.31695032,7.412402
2007-02-25,,2.610873,-2.9332938,3.2129743
2007-02-26,,2.9408755,-4.9930735,0.3101981
2007-02-27,,3.1221817,-6.2013183,5.838986
2007-02-28,,3.1387024,-0.87183315,5.406487
2007-03-01,,2.9517398,-0.36365095,8.344426
2007-03-02,,2.78479,6.357422,9.976863
2007-03-03,,2.5743542,12.471387,-1.9760045
2007-03-04,,3.3687027,3.9708915,-0.9797154
2007-03-05,,3.4021792,-3.135791,7.7233887
2007-03-06,,3.4334862,-0.7476353,3.3225517
2007-03-07,,3.4765294,-1.551423,6.431529
2007-03-08,,3.5213091,1.8224261,5.7138186
2007-03-09,,3.4939203,-1.2855957,4.4785924
2007-03-10,,3.1973956,-1.2618932,1.3251395
2007-03-11,,3.0265265,1.187486,-0.15430385
2007-03-12,,2.8808765,6.304199,4.0644393
2007-03-13,,2.6839216,3.3334613,6.860282
2007-03-14,,2.4995742,6.756236,3.3623047
2007-03-15,,2.2673976,4.483538,5.1345844
2007-03-16,,2.052181,7.2800922,2.4283412
2007-03-17,,1.8556572,4.6983957,2.157973
2007-03-18,,1.716095,-4.595159,2.1361678
2007-03-19,,1.5495712,-4.5464005,0.87697405
2007-03-20,,3.3487005,2.5915318,-4.473026
2007-03-21,13.366746,3.178265,3.5449986,0.2862235
2007-03-22,,3.19609,3.1194057,6.787144
2007-03-23,,3.3413138,10.004695,4.240388
2007-03-24,,3.306094,5.570787,6.8392925
2007-03-25,,3.3121789,9.01483,6.9384136
2007-03-26,,3.4247901,11.090597,6.5546107
2007-03-27,,3.461747,11.05948,5.1567173
2007-03-28,,3.474791,8.768561,4.5370674
2007-03-29,11.096927,3.22218,8.75265,1.8371512
2007-03-30,,3.026963,7.243806,-1.9276437
2007-03-31,,2.7708755,9.866594,0.38401926
2007-04-01,,2.5778317,4.159912,3.0353656
2007-04-02,,2.533917,3.1665945,-7.4620185
2007-04-03,,2.4865284,2.800851,-4.1073103
2007-04-04,,2.3617446,5.4058104,6.727274
2007-04-05,,2.1617446,2.5232143,-4.3905063
2007-04-06,7.12764,2.0169625,10.085079,-5.160289
2007-04-07,,1.9056582,0.8309431,-10.753551
2007-04-08,,1.8078321,4.327253,-5.512751
2007-04-09,,1.7404441,4.7086635,-2.380399
2007-04-10,,1.9360949,-0.88857424,6.1424036
2007-04-11,,2.3834825,2.45542,-1.6993024
2007-04-12,,2.5121818,5.1166644,-1.2697544
2007-04-13,,2.536093,6.792571,6.5467496
2007-04-14,10.599031,2.4347892,7.6205707,4.821526
2007-04-15,,2.323485,9.69631,5.954297
2007-04-16,,2.2139163,9.399797,7.8446984
2007-04-17,,2.3060913,6.331808,-1.370173
2007-04-18,,2.2982655,5.5796456,0.96830356
2007-04-19,,2.3047898,0.12954101,4.6195803
2007-04-20,,2.223922,5.178418,-0.8776437
2007-04-21,,2.6213114,7.014858,3.3417063
2007-04-22,20.992727,2.5608773,0.6453404,1.6121373
2007-04-23,,2.5382676,-3.3228724,-2.7835588
2007-04-24,,2.3882658,-3.3979423,1.0765904
2007-04-25,,2.212178,0.056821987,3.1062152
2007-04-26,,2.0500011,4.46107,4.219573
2007-04-27,,1.8856586,-2.4326172,-7.45286
2007-04-28,,1.7765237,8.234117,-3.0285366
2007-04-29,,1.7295718,0.42575336,-6.364167
2007-04-30,16.88567,1.6969658,3.9222238,4.3424454
2007-05-01,,1.8234863,6.4672923,-3.3762975
2007-05-02,,1.8995706,-0.61692244,-1.0326451
2007-05-03,,3.6665304,-3.2409668,2.9617398
2007-05-04,,4.042179,-5.5400877,1.8303851
2007-05-05,,3.9339201,-3.2911062,0.9189174
2007-05-06,,3.798702,-2.0274622,0.4765625
2007-05-07,,3.8808765,-7.823298,0.9459473
2007-05-08,22.325453,4.04305,-3.6927385,3.9432688
2007-05-09,,4.241743,-6.0536065,3.8489468
2007-05-10,,4.3604393,-8.210108,2.9052734
2007-05-11,,4.490005,-9.90346,2.7541156
2007-05-12,,4.4330497,-8.005546,1.2498535
2007-05-13,,4.5300055,-6.0367255,1.2944825
2007-05-14,,4.558704,-2.858252,3.5122907
2007-05-15,,4.760871,-5.303251,2.8257463
2007-05-16,20.96369,5.0173936,-3.0347865,0.47717634
2007-05-17,,5.1300087,-2.615618,-0.059493583
2007-05-18,,5.259569,1.8832937,1.4735979
2007-05-19,,5.387402,-4.553592,5.013672
2007-05-20,,5.5534854,5.6694055,2.6509767
2007-05-21,,5.711309,6.853676,1.7535435
2007-05-22,,5.828701,-3.0211077,-0.6054269
2007-05-23,,6.0282683,0.91705495,2.3155901
2007-05-24,27.160248,6.1882668,3.818694,3.0300083
2007-05-25,,6.2787013,-0.0114536835,0.4765625
2007-05-26,,6.2595706,-4.9517717,-0.8086007
2007-05-27,,6.283483,1.202546,1.1562779
2007-05-28,,6.893487,1.5893555,-0.94162947
2007-05-29,,7.321313,-1.6926827,-0.8316615
2007-05-30,,7.486526,0.623291,-2.9939313
2007-05-31,,7.764792,0.31229073,-5.5231795
2007-06-01,44.585213,8.185659,-2.5441196,-0.27252373
2007-06-02,,8.331742,-1.1407855,0.78849053
2007-06-03,,8.674785,6.077016,2.0055594
2007-06-04,,8.6187,3.8713937,1.8128767
2007-06-05,,8.563048,7.242864,1.5248674
2007-06-06,,8.474789,8.052086,0.5922712
2007-06-07,,8.371747,7.6616073,0.10206473
2007-06-08,,8.356526,4.860847,-0.49117607
2007-06-09,45.41949,8.29566,6.412563,-0.13726284
2007-06-10,,8.225659,6.1782575,1.1736747
2007-06-11,,8.290873,3.237542,-2.9549804
2007-06-12,,8.292181,1.8662667,-2.9583776
2007-06-13,,8.329569,-2.2123396,-2.6762347
2007-06-14,,8.4326105,2.9567523,-0.10831473
2007-06-15,,8.557837,4.756696,1.2359793
2007-06-16,,8.587399,6.4482284,0.36664343
2007-06-17,32.53235,8.615227,6.216783,-2.440646
2007-06-18,,8.667399,1.7234097,-3.1972446
2007-06-19,,8.691308,2.35369,-2.4350307
2007-06-20,,10.014789,2.275823,-0.8545968
2007-06-21,,10.105222,-0.5246582,0.0010742188
2007-06-22,,10.103051,-2.211098,0.0018484934
