,chla,par,sst,mld,eastward_wind,northward_wind,spm,sss
2000-04-01,,,3.9015037536621096,,,,,
2000-04-02,,,3.873503875732422,,,,,
2000-04-03,,,3.7967552185058593,,,,,
2000-04-04,,,3.6390029907226564,,,,,
2000-04-05,,12.759854171587074,3.5900062561035155,,,,,
2000-04-06,1.0178628265857697,,3.5795074462890626,,,,0.9658375053570188,
2000-04-07,,,3.6342567443847655,,,,,
2000-04-08,,,3.6972587585449217,,,,,
2000-04-09,,,3.758757781982422,,,,,
2000-04-10,,,4.0082550048828125,,,,,
2000-04-11,,,4.115504455566406,,,,,
2000-04-12,,,4.102255249023438,,,,,
2000-04-13,,15.707674461862315,4.069754791259766,,,,,
2000-04-14,0.9823492089907329,,4.054003143310547,,,,1.634519071414553,
2000-04-15,,,4.036258697509766,,,,,
2000-04-16,,,4.032758331298828,,,,,
2000-04-17,,,4.069753265380859,,,,,
2000-04-18,,,4.194007110595703,,,,,
2000-04-19,,,4.253755187988281,,,,,
2000-04-20,,,4.3237556457519535,,,,,
2000-04-21,,18.764266283615775,4.362506103515625,,,,,
2000-04-22,1.1500051863053267,,4.411507415771484,,,,0.9554676031693816,
2000-04-23,,,4.450007629394531,,,,,
2000-04-24,,,4.480507659912109,,,,,
2000-04-25,,,4.547257995605468,,,,,
2000-04-26,,,4.656755828857422,,,,,
2000-04-27,,,4.849256134033203,,,,,
2000-04-28,,,5.010005950927734,,,,,
2000-04-29,,23.390147250631582,4.968757629394531,,,,,
2000-04-30,0.7963738242785136,,4.940756225585938,,,,0.673328185903615,
2000-05-01,,,4.9462532043457035,,,,,
2000-05-02,,,4.913007354736328,,,,,
2000-05-03,,,4.956756591796875,,,,,
2000-05-04,,,5.05725326538086,,,,,
2000-05-05,,,5.166256713867187,,,,,
2000-05-06,,,5.2452552795410154,,,,,
2000-05-07,,17.234065947325334,5.3427589416503904,,,,,
2000-05-08,0.27706776186823845,,5.415256500244141,,,,1.479011287689209,
2000-05-09,,,5.439005279541016,,,,,
2000-05-10,,,5.437005615234375,,,,,
2000-05-11,,,5.460505676269531,,,,,
2000-05-12,,,5.513506317138672,,,,,
2000-05-13,,,5.618254852294922,,,,,
2000-05-14,,,5.329255676269531,,,,,
2000-05-15,,22.724032858143683,5.4080039978027346,,,,,
2000-05-16,,,5.42425537109375,,,,3.128525667247318,
2000-05-17,,,5.5437568664550785,,,,,
2000-05-18,,,6.376506805419922,,,,,
2000-05-19,,,6.548757171630859,,,,,
2000-05-20,,,6.62200698852539,,,,,
2000-05-21,,,6.496255493164062,,,,,
2000-05-22,,,6.509255981445312,,,,,
2000-05-23,,33.824225798897125,7.0257568359375,,,,,
2000-05-24,0.47775058448314667,,7.298007202148438,,,,0.4296200454235077,
2000-05-25,,,7.340253448486328,,,,,
2000-05-26,,,7.3910072326660154,,,,,
2000-05-27,,,7.4300086975097654,,,,,
2000-05-28,,,7.433758544921875,,,,,
2000-05-29,,,7.393506622314453,,,,,
2000-05-30,,,7.477508544921875,,,,,
2000-05-31,,34.65997509334398,7.594004058837891,,,,,
2000-06-01,,,7.6280059814453125,,,,0.7667225817839305,
2000-06-02,,,7.611502838134766,,,,,
2000-06-03,,,7.644004821777344,,,,,
2000-06-04,,,7.671253967285156,,,,,
2000-06-05,,,7.692005157470703,,,,,
2000-06-06,,,7.743508148193359,,,,,
2000-06-07,,,7.845755767822266,,,,,
2000-06-08,,31.318295644677203,8.000255584716797,,,,,
2000-06-09,,,8.087007141113281,,,,2.172143145747807,
2000-06-10,,,8.128756713867187,,,,,
2000-06-11,,,8.236258697509765,,,,,
2000-06-12,,,8.227004241943359,,,,,
2000-06-13,,,8.28450698852539,,,,,
2000-06-14,,,8.246755981445313,,,,,
2000-06-15,,,8.27725830078125,,,,,
2000-06-16,,32.936547072037406,8.282758331298828,,,,,
2000-06-17,0.7833054661750793,,8.287755584716797,,,,0.8008440136909485,
2000-06-18,,,8.390005493164063,,,,,
2000-06-19,,,8.54250717163086,,,,,
2000-06-20,,,8.259757232666015,,,,,
2000-06-21,,,8.232756042480469,,,,,
2000-06-22,,,8.257254791259765,,,,,
2000-06-23,,,8.391504669189453,,,,,
2000-06-24,,33.5537867338761,8.756004333496094,,,,,
2000-06-25,0.7854196149855852,,9.042255401611328,,,,0.8421533207098643,
2000-06-26,,,9.057505035400391,,,,,
2000-06-27,,,8.974507141113282,,,,,
2000-06-28,,,9.016753387451171,,,,,
2000-06-29,,,8.999757385253906,,,,,
2000-06-30,,,8.628004455566407,,,,,
2000-07-01,,,8.532754516601562,,,,,
2000-07-02,,38.860522311666735,8.588005828857423,,,,,
2000-07-03,1.3106544944975111,,8.766256713867188,,,,1.1026937236388525,
2000-07-04,,,8.990255737304688,,,,,
2000-07-05,,,9.133257293701172,,,,,
2000-07-06,,,9.138753509521484,,,,,
2000-07-07,,,9.07800521850586,,,,,
2000-07-08,,,9.063507080078125,,,,,
2000-07-09,,,9.107505798339844,,,,,
2000-07-10,,33.52625183437181,9.375507354736328,,,,,
2000-07-11,0.8393117785453796,,9.55025405883789,,,,0.5027986232723508,
2000-07-12,,,9.708506774902343,,,,,
2000-07-13,,,9.974004364013672,,,,,
2000-07-14,,,10.133507537841798,,,,,
2000-07-15,,,10.278754425048827,,,,,
2000-07-16,,,10.362255096435547,,,,,
2000-07-17,,,10.488006591796875,,,,,
2000-07-18,,29.971244770547617,10.511503601074219,,,,,
2000-07-19,0.5952554978430271,,10.580753326416016,,,,0.4425093587487936,
2000-07-20,,,11.028507232666016,,,,,
2000-07-21,,,11.159004974365235,,,,,
2000-07-22,,,11.244007873535157,,,,,
2000-07-23,,,11.48950653076172,,,,,
2000-07-24,,,10.222259521484375,,,,,
2000-07-25,,,10.237506866455078,,,,,
2000-07-26,,42.984903916068696,10.189006805419922,,,,,
2000-07-27,0.7765381301150602,,10.293003845214844,,,,0.5522596624589735,
2000-07-28,,,10.580757141113281,,,,,
2000-07-29,,,10.702508544921875,,,,,
2000-07-30,,,10.90950927734375,,,,,
2000-07-31,,,11.037254333496094,,,,,
2000-08-01,,,11.177505493164062,,,,,
2000-08-02,,,11.194004821777344,,,,,
2000-08-03,,37.93468749004862,11.293254852294922,,,,,
2000-08-04,0.7927463501691818,,11.348006439208984,,,,0.47252667464058973,
2000-08-05,,,11.432506561279297,,,,,
2000-08-06,,,11.478256225585938,,,,,
2000-08-07,,,11.4882568359375,,,,,
2000-08-08,,,11.639503479003906,,,,,
2000-08-09,,,11.675505828857421,,,,,
2000-08-10,,,11.705257415771484,,,,,
2000-08-11,,19.674016828122348,11.697505950927734,,,,,
2000-08-12,0.7878593486898086,,11.759506988525391,,,,0.4366575234076556,
2000-08-13,,,11.830004119873047,,,,,
2000-08-14,,,11.301007080078126,,,,,
2000-08-15,,,11.262006378173828,,,,,
2000-08-16,,,11.250755310058594,,,,,
2000-08-17,,,11.336504364013672,,,,,
2000-08-18,,,11.382508850097656,,,,,
2000-08-19,,23.980557275855023,11.363504791259766,,,,,
2000-08-20,,,11.38800506591797,,,,,
2000-08-21,,,11.387254333496093,,,,,
2000-08-22,,,11.48150634765625,,,,,
2000-08-23,,,11.507756805419922,,,,,
2000-08-24,,,11.47475814819336,,,,,
2000-08-25,,,11.531505584716797,,,,,
2000-08-26,,,11.611756896972656,,,,,
2000-08-27,,14.45771886991418,11.544755554199218,,,,,
2000-08-28,0.7049382925033569,,11.130507659912109,,,,0.6852026327202717,
2000-08-29,,,11.14775390625,,,,,
2000-08-30,,,11.091255187988281,,,,,
2000-08-31,,,10.736005401611328,,,,,
2000-09-01,,,10.745004272460937,,,,,
2000-09-02,,,10.728756713867188,,,,,
2000-09-03,,,10.530509185791015,,,,,
2000-09-04,,16.292636000591777,10.531758880615234,,,,,
2000-09-05,0.9477310366928577,,10.545757293701172,,,,0.3183250076004437,
2000-09-06,,,10.488008117675781,,,,,
2000-09-07,,,10.467005920410156,,,,,
2000-09-08,,,10.444256591796876,,,,,
2000-09-09,,,10.413255310058593,,,,,
2000-09-10,,,10.400503540039063,,,,,
2000-09-11,,,10.18675537109375,,,,,
2000-09-12,,16.28579046415246,10.062508392333985,,,,,
2000-09-13,0.7037133276462555,,9.940003204345704,,,,0.2722049822861498,
2000-09-14,,,9.906256103515625,,,,,
2000-09-15,,,9.91275634765625,,,,,
2000-09-16,,,9.945006561279296,,,,,
2000-09-17,,,9.940257263183593,,,,,
2000-09-18,,,9.96275634765625,,,,,
2000-09-19,,,9.90600357055664,,,,,
2000-09-20,,11.57987814364226,9.6382568359375,,,,,
2000-09-21,,,9.724507904052734,,,,0.27554316412318836,
2000-09-22,,,9.801258850097657,,,,,
2000-09-23,,,9.91575927734375,,,,,
2000-09-24,,,9.831004333496093,,,,,
2000-09-25,,,9.759506988525391,,,,,
2000-09-26,,,9.762255859375,,,,,
2000-09-27,,,9.755755615234374,,,,,
2000-09-28,,11.558016756306523,9.729756164550782,,,,,
2000-09-29,,,9.694753265380859,,,,0.44736556322486315,
2000-09-30,,,9.745758056640625,,,,,
2000-10-01,,,9.677506256103516,,,,,
2000-10-02,,,9.578256225585937,,,,,
2000-10-03,,,9.624504089355469,,,,,
2000-10-04,,,9.642505645751953,,,,,
2000-10-05,,,9.587506866455078,,,,,
2000-10-06,,,9.401507568359374,,,,,
2000-10-07,,,9.412007141113282,,,,0.30061875358223916,
2000-10-08,,,9.400006866455078,,,,,
2000-10-09,,,9.368006134033203,,,,,
2000-10-10,,,9.373507690429687,,,,,
2000-10-11,,,9.338758087158203,,,,,
2000-10-12,,,9.350257873535156,,,,,
2000-10-13,,,9.290507507324218,,,,,
2000-10-14,,,9.280006408691406,,,,,
2000-10-15,,,9.297004699707031,,,,,
2000-10-16,,,9.379254150390626,,,,,
2000-10-17,,,9.343003082275391,,,,,
2000-10-18,,,9.300505828857421,,,,,
2000-10-19,,,9.389007568359375,,,,,
2000-10-20,,,9.365506744384765,,,,,
2000-10-21,,,9.347005462646484,,,,,
2000-10-22,,,9.194755554199219,,,,,
2000-10-23,,,9.102507019042969,,,,,
2000-10-24,,,8.970757293701173,,,,,
2000-10-25,,,8.904508972167969,,,,,
2000-10-26,,,8.883255767822266,,,,,
2000-10-27,,,8.873255157470703,,,,,
2000-10-28,,,8.889507293701172,,,,,
2000-10-29,,,8.913253784179688,,,,,
2000-10-30,,,8.909758758544921,,,,,
2000-10-31,,,8.857759094238281,,,,,
2000-11-01,,,8.761005401611328,,,,,
2000-11-02,,,8.7925048828125,,,,,
2000-11-03,,,8.790755462646484,,,,,
2000-11-04,,,8.727758026123047,,,,,
2000-11-05,,,8.683506774902344,,,,,
2000-11-06,,,8.607005310058593,,,,,
2000-11-07,,,8.546257781982423,,,,,
2000-11-08,,,8.483506774902343,,,,,
2000-11-09,,,8.459757232666016,,,,,
2000-11-10,,,8.39800567626953,,,,,
2000-11-11,,,8.520504760742188,,,,,
2000-11-12,,,8.603753662109375,,,,,
2000-11-13,,,8.595003509521485,,,,,
2000-11-14,,,8.502757263183593,,,,,
2000-11-15,,,8.437254333496094,,,,,
2000-11-16,,,8.64025650024414,,,,,
2000-11-17,,,8.669504547119141,,,,,
2000-11-18,,,8.654005432128907,,,,,
2000-11-19,,,8.315505218505859,,,,,
2000-11-20,,,8.330255126953125,,,,,
2000-11-21,,,8.321004486083984,,,,,
2000-11-22,,,8.301254272460938,,,,,
2000-11-23,,,8.206755065917969,,,,,
2000-11-24,,,8.093006896972657,,,,,
2000-11-25,,,8.05950698852539,,,,,
2000-11-26,,,8.090255737304688,,,,,
2000-11-27,,,8.071757507324218,,,,,
2000-11-28,,,7.994005584716797,,,,,
2000-11-29,,,7.911756896972657,,,,,
2000-11-30,,,7.839507293701172,,,,,
2000-12-01,,,7.753755187988281,,,,,
2000-12-02,,,7.711004638671875,,,,,
2000-12-03,,,7.655008697509766,,,,,
2000-12-04,,,7.598257446289063,,,,,
2000-12-05,,,7.5160072326660154,,,,,
2000-12-06,,,7.524008941650391,,,,,
2000-12-07,,,7.495008087158203,,,,,
2000-12-08,,,7.695255279541016,,,,,
2000-12-09,,,7.687004852294922,,,,,
2000-12-10,,,7.687256622314453,,,,,
2000-12-11,,,7.6527557373046875,,,,,
2000-12-12,,,7.591004180908203,,,,,
2000-12-13,,,7.524755859375,,,,,
2000-12-14,,,7.368756103515625,,,,,
2000-12-15,,,7.256256103515625,,,,,
2000-12-16,,,7.178256225585938,,,,,
2000-12-17,,,7.083509063720703,,,,,
2000-12-18,,,7.068257141113281,,,,,
2000-12-19,,,6.985752868652344,,,,,
2000-12-20,,,6.877005767822266,,,,,
2000-12-21,,,6.7907554626464846,,,,,
2000-12-22,,,6.743254852294922,,,,,
2000-12-23,,,6.726255798339844,,,,,
2000-12-24,,,6.791504669189453,,,,,
2000-12-25,,,6.812004852294922,,,,,
2000-12-26,,,6.810006713867187,,,,,
2000-12-27,,,6.6810050964355465,,,,,
2000-12-28,,,6.619506072998047,,,,,
2000-12-29,,,6.641257476806641,,,,,
2000-12-30,,,6.643008422851563,,,,,
2000-12-31,,,6.533753967285156,,,,,
2001-01-01,,,6.500006103515625,,,,,
2001-01-02,,,6.631004333496094,,,,,
2001-01-03,,,6.6455078125,,,,,
2001-01-04,,,6.624005126953125,,,,,
2001-01-05,,,6.569757080078125,,,,,
2001-01-06,,,6.539258575439453,,,,,
2001-01-07,,,6.433255004882812,,,,,
2001-01-08,,,6.352754211425781,,,,,
2001-01-09,,,6.2800048828125,,,,,
2001-01-10,,,6.2360069274902346,,,,,
2001-01-11,,,6.217258453369141,,,,,
2001-01-12,,,6.112508392333984,,,,,
2001-01-13,,,6.051007843017578,,,,,
2001-01-14,,,5.95300521850586,,,,,
2001-01-15,,,5.88975830078125,,,,,
2001-01-16,,,5.85675277709961,,,,,
2001-01-17,,,5.794001770019531,,,,,
2001-01-18,,,5.735503387451172,,,,,
2001-01-19,,,5.719003295898437,,,,,
2001-01-20,,,5.685255432128907,,,,,
2001-01-21,,,5.62725830078125,,,,,
2001-01-22,,,5.632508850097656,,,,,
2001-01-23,,,5.649006652832031,,,,,
2001-01-24,,,5.603006744384766,,,,,
2001-01-25,,,5.5890045166015625,,,,,
2001-01-26,,,5.564507293701172,,,,,
2001-01-27,,,5.530506134033203,,,,,
2001-01-28,,,5.452507019042969,,,,,
2001-01-29,,,5.38250503540039,,,,,
2001-01-30,,,5.349005126953125,,,,,
2001-01-31,,,5.364508819580078,,,,,
2001-02-01,,,5.281254577636719,,,,,
2001-02-02,,,5.259256744384766,,,,,
2001-02-03,,,5.092005920410156,,,,,
2001-02-04,,,5.017255401611328,,,,,
2001-02-05,,,4.951251983642578,,,,,
2001-02-06,,,4.853007507324219,,,,,
2001-02-07,,,4.800755310058594,,,,,
2001-02-08,,,4.7335052490234375,,,,,
2001-02-09,,,4.65325698852539,,,,,
2001-02-10,,,4.696757507324219,,,,,
2001-02-11,,,4.223504638671875,,,,,
2001-02-12,,,4.148257446289063,,,,,
2001-02-13,,,4.0265052795410154,,,,,
2001-02-14,,,4.80125732421875,,,,,
2001-02-15,,,4.842255401611328,,,,,
2001-02-16,,,4.863755798339843,,,,,
2001-02-17,,,4.801004028320312,,,,,
2001-02-18,,,4.775755310058594,,,,,
2001-02-19,,,4.682255554199219,,,,,
2001-02-20,,,4.533256530761719,,,,,
2001-02-21,,,4.477252960205078,,,,,
2001-02-22,,,4.154507446289062,,,,,
2001-02-23,,,4.186256408691406,,,,,
2001-02-24,,,4.263006591796875,,,,,
2001-02-25,,,4.344506072998047,,,,,
2001-02-26,,,4.172759246826172,,,,0.6970098454218644,
2001-02-27,,,4.198508453369141,,,,,
2001-02-28,,,4.191506195068359,,,,,
2001-03-01,,,4.193006896972657,,,,,
2001-03-02,,,4.1592559814453125,,,,,
2001-03-03,,,3.982757568359375,,,,,
2001-03-04,,,3.9192581176757812,,,,,
2001-03-05,,,4.155754089355469,,,,,
2001-03-06,,,4.178504943847656,,,,0.6866958141326904,
2001-03-07,,,4.202508544921875,,,,,
2001-03-08,,,4.045256805419922,,,,,
2001-03-09,,,3.9520057678222655,,,,,
2001-03-10,,,3.8640068054199217,,,,,
2001-03-11,,,3.422259521484375,,,,,
2001-03-12,,,3.8410057067871093,,,,,
2001-03-13,,,3.9802574157714843,,,,,
2001-03-14,,,3.856756591796875,,,,2.231204314873769,
2001-03-15,,,3.805755615234375,,,,,
2001-03-16,,,3.736004638671875,,,,,
2001-03-17,,,3.561759185791016,,,,,
2001-03-18,,,3.4215065002441407,,,,,
2001-03-19,,,3.503254699707031,,,,,
2001-03-20,,,3.717755889892578,,,,,
2001-03-21,,10.855955621470576,3.7120040893554687,,,,,
2001-03-22,0.6461862168814007,,3.670754241943359,,,,0.8725494841734568,
2001-03-23,,,3.2510055541992187,,,,,
2001-03-24,,,3.6167556762695314,,,,,
2001-03-25,,,3.933005523681641,,,,,
2001-03-26,,,3.8842567443847655,,,,,
2001-03-27,,,3.820507049560547,,,,,
2001-03-28,,,3.689251708984375,,,,,
2001-03-29,,14.328083390774934,4.1687568664550785,,,,,
2001-03-30,0.8584779187252647,,4.160755920410156,,,,0.8603107405119929,
2001-03-31,,,4.1527557373046875,,,,,
2001-04-01,,,3.9677574157714846,,,,,
2001-04-02,,,3.969004821777344,,,,,
2001-04-03,,,3.962757873535156,,,,,
2001-04-04,,,3.993006134033203,,,,,
2001-04-05,,,4.006756591796875,,,,,
2001-04-06,,13.541097765383514,3.8320053100585936,,,,,
2001-04-07,0.8285493403673172,,3.738756561279297,,,,1.7082399716600776,
2001-04-08,,,3.7342544555664063,,,,,
2001-04-09,,,3.7580047607421876,,,,,
2001-04-10,,,3.8390045166015625,,,,,
2001-04-11,,,3.884503936767578,,,,,
2001-04-12,,,3.9302528381347654,,,,,
2001-04-13,,,3.706004333496094,,,,,
2001-04-14,,21.576527968696926,3.7355056762695313,,,,,
2001-04-15,1.4121025485150955,,3.7232574462890624,,,,1.5987468520800272,
2001-04-16,,,3.7342544555664063,,,,,
2001-04-17,,,3.6025062561035157,,,,,
2001-04-18,,,3.55450439453125,,,,,
2001-04-19,,,3.50025634765625,,,,,
2001-04-20,,,3.6370086669921875,,,,,
2001-04-21,,,3.744004821777344,,,,,
2001-04-22,,21.69031649050505,3.8550064086914064,,,,,
2001-04-23,1.42171198874712,,3.9075080871582033,,,,0.9099269644780592,
2001-04-24,,,4.0030059814453125,,,,,
2001-04-25,,,3.9585052490234376,,,,,
2001-04-26,,,3.9325042724609376,,,,,
2001-04-27,,,3.9340065002441404,,,,,
2001-04-28,,,4.160006713867188,,,,,
2001-04-29,,,4.454254150390625,,,,,
2001-04-30,,26.136022028715715,4.612256622314453,,,,,
2001-05-01,,,4.7040046691894535,,,,0.5177116394042969,
2001-05-02,,,4.6215049743652346,,,,,
2001-05-03,,,4.639007568359375,,,,,
2001-05-04,,,4.732506561279297,,,,,
2001-05-05,,,4.8767555236816404,,,,,
2001-05-06,,,4.989005279541016,,,,,
2001-05-07,,,5.174755859375,,,,,
2001-05-08,,22.153707670128863,5.25750732421875,,,,,
2001-05-09,0.3312739208340645,,5.300504302978515,,,,0.46424861481556523,
2001-05-10,,,5.359255981445313,,,,,
2001-05-11,,,5.422505950927734,,,,,
2001-05-12,,,5.524504089355469,,,,,
2001-05-13,,,5.46850814819336,,,,,
2001-05-14,,,5.501255798339844,,,,,
2001-05-15,,,5.719257354736328,,,,,
2001-05-16,,26.588467597961426,5.8857566833496096,,,,,
2001-05-17,1.0419573055373297,,5.9442588806152346,,,,1.3236582279205322,
2001-05-18,,,6.037253570556641,,,,,
2001-05-19,,,6.159252166748047,,,,,
2001-05-20,,,6.303505706787109,,,,,
2001-05-21,,,6.420003509521484,,,,,
2001-05-22,,,6.514505767822266,,,,,
2001-05-23,,,6.415508270263672,,,,,
2001-05-24,,28.50209957620372,6.3550056457519535,,,,,
2001-05-25,1.0944265127182007,,6.419504547119141,,,,0.37523528409970774,
2001-05-26,,,6.4757530212402346,,,,,
2001-05-27,,,6.475506591796875,,,,,
2001-05-28,,,6.53050537109375,,,,,
2001-05-29,,,6.513257598876953,,,,,
2001-05-30,,,6.544256591796875,,,,,
2001-05-31,,,6.5435035705566404,,,,,
2001-06-01,,45.077804482501485,6.3272560119628904,,,,,
2001-06-02,,,6.533504486083984,,,,1.8788563013076782,
2001-06-03,,,6.916754913330078,,,,,
2001-06-04,,,7.046254730224609,,,,,
2001-06-05,,,6.910006713867188,,,,,
2001-06-06,,,6.909756469726562,,,,,
2001-06-07,,,7.179006958007813,,,,,
2001-06-08,,,7.262757110595703,,,,,
2001-06-09,,23.58296945820684,7.299254608154297,,,,,
2001-06-10,0.5538020233313242,,7.3290046691894535,,,,1.0034655928611755,
2001-06-11,,,7.398755645751953,,,,,
2001-06-12,,,7.39200439453125,,,,,
2001-06-13,,,7.781257629394531,,,,,
2001-06-14,,,7.966004943847656,,,,,
2001-06-15,,,8.063504028320313,,,,,
2001-06-16,,,8.147257232666016,,,,,
2001-06-17,,30.292008897532586,8.144757843017578,,,,,
2001-06-18,0.6727534433205923,,8.392255401611328,,,,0.475855855327664,
2001-06-19,,,8.46675796508789,,,,,
2001-06-20,,,9.405254364013672,,,,,
2001-06-21,,,10.381256866455079,,,,,
2001-06-22,,,10.66375732421875,,,,,
2001-06-23,,,10.199007415771485,,,,,
2001-06-24,,,9.718753814697266,,,,,
2001-06-25,,55.128337030825406,9.551506042480469,,,,,
2001-06-26,0.6086626776627132,,9.501254272460937,,,,0.41042205691337585,
2001-06-27,,,9.631004333496094,,,,,
2001-06-28,,,9.809255981445313,,,,,
2001-06-29,,,9.935004425048827,,,,,
2001-06-30,,,9.990004730224609,,,,,
2001-07-01,,,10.039757537841798,,,,,
2001-07-02,,,10.06725616455078,,,,,
2001-07-03,,30.8828241514123,10.195754241943359,,,,,
2001-07-04,0.6117892861366272,,10.303009033203125,,,,1.1562022227665474,
2001-07-05,,,10.381753540039062,,,,,
2001-07-06,,,10.358256530761718,,,,,
2001-07-07,,,10.43350830078125,,,,,
2001-07-08,,,10.368504333496094,,,,,
2001-07-09,,,10.368505859375,,,,,
2001-07-10,,,10.53350830078125,,,,,
2001-07-11,,30.31770764226499,10.608505249023438,,,,,
2001-07-12,0.771781391957227,,10.839509582519531,,,,2.528440786732568,
2001-07-13,,,10.86700668334961,,,,,
2001-07-14,,,10.767005920410156,,,,,
2001-07-15,,,10.817255401611328,,,,,
2001-07-16,,,10.852005004882812,,,,,
2001-07-17,,,10.912006378173828,,,,,
2001-07-18,,,11.05750732421875,,,,,
2001-07-19,,31.94392788928488,11.168256378173828,,,,,
2001-07-20,1.1443719901144505,,10.937255096435546,,,,2.0330771839979924,
2001-07-21,,,10.088506317138672,,,,,
2001-07-22,,,10.001754760742188,,,,,
2001-07-23,,,10.057003784179688,,,,,
2001-07-24,,,10.20375747680664,,,,,
2001-07-25,,,10.240257263183594,,,,,
2001-07-26,,,10.313756561279297,,,,,
2001-07-27,,34.04627688034721,10.466006469726562,,,,,
2001-07-28,,,10.570757293701172,,,,4.291391897201538,
2001-07-29,,,10.708504486083985,,,,,
2001-07-30,,,10.800006103515624,,,,,
2001-07-31,,,11.011256408691406,,,,,
2001-08-01,,,11.15050811767578,,,,,
2001-08-02,,,11.217506408691406,,,,,
2001-08-03,,,11.302256011962891,,,,,
2001-08-04,,20.74673557281494,10.970506286621093,,,,,
2001-08-05,,,10.767008209228516,,,,3.319602206349373,
2001-08-06,,,10.837255859375,,,,,
2001-08-07,,,10.897754669189453,,,,,
2001-08-08,,,11.220256042480468,,,,,
2001-08-09,,,11.30300521850586,,,,,
